barcode	x	y
cell_0	2746.707433031933	4415.725579505632
cell_1	3578.9050182473907	3839.625958418329
cell_2	1434.2781976684612	2889.3360015426842
cell_3	3654.9139029913486	3891.5152634877036
cell_4	3882.8276739675825	4249.788523473306
cell_5	2358.5885376239285	4560.997485453397
cell_6	2459.973406401397	4339.538418938697
cell_7	2760.106015252772	4773.531491795786
cell_9	3793.065310491193	2275.4442966207043
cell_10	3916.1447270300837	2030.7244786626047
cell_11	3003.316830421748	4671.96305478498
cell_12	3736.4948319214454	4792.78775006031
cell_13	1619.8615837595837	2712.648982299088
cell_14	2343.6637812358335	4575.99696561784
cell_15	2231.838816243153	4458.234439023121
cell_16	3546.3539913900204	4130.627347028401
cell_17	1877.7877507991295	2317.5346301418645
cell_18	2895.016761855659	2787.44987678115
cell_19	3143.888139226983	4151.68166999496
cell_20	2209.035981158278	4486.085933761892
cell_21	3427.092098890764	2630.9992144658104
cell_22	2334.074770764745	4437.859847554471
cell_23	3127.9936500870845	3470.741878783812
cell_24	2365.023392381014	4040.641122997412
cell_25	1566.7378055546328	2331.0468971534515
cell_26	2194.19520063429	4404.782162163472
cell_27	3983.1168183485183	4436.670628601847
cell_28	2180.395704765729	4480.117143311952
cell_29	3495.873883233304	3555.276076072592
cell_30	2804.582150775646	4047.096468753902
cell_31	2329.245769976014	4543.385211303113
cell_33	3585.379071565081	4748.734396681681
cell_34	3666.965468346405	3763.2505870316268
cell_35	2038.9991826665757	4843.355538477879
cell_36	2688.4715430878978	2978.586720609951
cell_37	3733.572840711433	4448.781030871369
cell_38	2330.60241770029	4128.682657909916
cell_39	2787.7969068885322	3970.0171143238113
cell_40	3763.85624766402	4792.756114570133
cell_41	3313.325192844862	4656.707207901957
cell_42	2195.175845697329	4859.819451992989
cell_43	3685.476765243604	4722.100783624778
cell_44	1955.7544275834045	2079.3401013113876
cell_46	2201.9456677449166	4462.483212511554
cell_47	2718.6776486060808	3672.535460184101
cell_48	1908.8210005855624	2466.4418757899607
cell_49	2568.133670574107	4129.056094070727
cell_50	3373.9041820345283	2889.7819243786807
cell_51	3531.01788669081	3752.639715286097
cell_52	1585.58686736289	2709.973104322884
cell_53	3518.7811890019952	4608.145738622451
cell_54	2578.495849165451	3555.2655791046195
cell_55	2396.351959592695	4369.782651616133
cell_56	2166.277865506858	4641.836636556262
cell_58	2504.576898278119	3837.511099392882
cell_59	2134.1812358820735	4849.096534382301
cell_60	2262.259199318413	4519.5303198062475
cell_61	3635.66631822069	4505.962333002489
cell_62	1887.0107593031928	4201.4724832633765
cell_64	2191.4814961626626	4451.510697032435
cell_65	2381.7137984260735	4475.304846493369
cell_66	3653.3664224041763	4224.422431573557
cell_67	2481.5940105513896	4591.959536417436
cell_68	2277.5656126394506	4533.1948993404
cell_69	2377.7936969743555	4455.022089734844
cell_70	2577.1209080635927	4764.357388401264
cell_71	2171.1586747042975	4617.7189230440135
cell_72	2366.700564451306	4208.34102549656
cell_73	3805.246456125519	3660.809527691395
cell_74	2422.1605544086833	4777.975965719749
cell_75	2149.401528748175	4632.659566076559
cell_76	2638.6357881909616	3591.9265523935705
cell_77	3238.0064395421564	4851.518708233455
cell_78	2347.1780315337887	4604.338141588363
cell_81	2295.6718783545657	4178.973918268419
cell_82	2473.7719258681004	3859.353980213268
cell_83	3356.30003049	4778.950185302695
cell_84	2801.6133563236967	4271.407053193678
cell_85	2635.4120486188735	3554.600857714657
cell_86	1802.6133894940208	4330.355951875911
cell_87	1524.532844557018	2917.392322559331
cell_88	3570.2883174580884	4057.200844859462
cell_89	2368.9635632515083	4505.19908224809
cell_90	2669.3125064895194	3690.833758701694
cell_91	1497.4105348846356	4830.726112887972
cell_93	2170.5111434376377	4840.0416432806915
cell_94	2355.627449287872	4458.201587301587
cell_95	2640.550511589035	4071.495874726622
cell_96	1609.8860697402295	2771.838738019085
cell_97	3842.0499377854017	3359.023525609364
