,topic_0,topic_1,topic_2,topic_3
ANGPTL7,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PLA2G2A,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TACSTD2,0.08219137339168262,0.00690936071704161,0.0028824911281051632,0.006045176989118957
MSH4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PSRC1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
REG4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CTSK,1.3102382013049972e-07,0.050786608891790826,0.11829209776578198,0.13390891143657316
S100A2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
LENEP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MPZ,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
RGS5,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MAEL,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SELE,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MYOC,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PRG4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CHI3L1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SLC26A9,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TRIM67,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MYCNOS,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
LINC02898,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
C2orf73,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ACTG2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GNLY,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
POU3F3,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SULT1C3,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SCTR,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MYO7B,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
DHRS9,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
IGFBP5,0.01028550090406436,0.042440909360717045,0.01204595058396228,0.029307041305113017
DES,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ASIC4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
IQCA1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MAB21L4,0.07467060611619193,0.0025050157298035255,1.6660835374285667e-07,0.00950384892031281
CIDEC,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TMEM40,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ABI3BP,1.3102382013049972e-07,0.013723630319938267,0.07019226604021926,0.02087461549056517
GAP43,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CPNE4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CPA3,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ERICH6,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CCDC39,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
VWA5B2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
FETUB,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ADIPOQ,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TMPRSS11A,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
FDCSP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
AREG,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ODAPH,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CXCL10,0.01573609182149315,0.013830474268415742,0.02262558104663368,0.04050946543623648
CXCL11,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CXCL13,0.021160477974895835,0.00147219089452128,0.04961613435297646,0.013084951716327686
SPARCL1,1.3102382013049972e-07,0.0458955303614887,0.023025441095616533,0.004591310469369328
SPP1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PRSS12,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
LRAT,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
F11,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SLC6A3,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
DMGDH,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SLC12A2,0.038796284164461105,0.012275301240576957,0.010646440412522284,0.0034435211116722523
CXCL14,1.3102382013049972e-07,0.01698830652341663,0.061895170023825,0.026123838819766463
PCDHA11,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
FBLL1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
COL23A1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MSANTD5,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ZNF454,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
H1-5,0.02889088336259532,0.010708256662907343,0.033405141533796506,0.024317983563656397
TNXB,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
